#gender,agelow,agehigh,MeanSt,Dev3rd,5th,10th,25th,50th,75th,85th,90th,95th,97th
0,2,2.99,40.70,1.42,36.40,38.60,39.20,40.20,40.90,41.40,42.40,42.80,42.90
0,3,3.99,41.72,1.15,38.90,39.70,40.20,41.10,41.70,42.60,43.10,43.10,43.30
0,4,4.99,42.13,1.12,39.90,40.00,40.80,41.50,42.10,42.80,43.80,44.00,44.30
0,5,5.99,43.37,1.58,40.20,40.80,41.80,42.30,43.40,44.50,45.20,46.00,46.40
0,6,6.99,44.23,1.39,42.20,42.40,42.60,43.20,44.00,44.90,46.10,46.80,47.20
0,7,7.99,44.54,1.44,42.00,42.20,42.80,43.60,44.40,45.60,46.30,46.70,47.60
0,8,8.99,45.36,1.44,42.60,42.70,43.20,44.50,45.30,46.20,47.40,47.70,48.10
0,9,9.99,45.39,1.20,43.20,43.60,43.70,44.70,45.40,46.20,46.80,47.40,47.70
0,10,10.99,45.61,1.33,43.20,43.70,43.70,44.70,45.70,46.40,47.30,47.60,48.20
0,11,11.99,46.29,1.46,44.10,44.30,44.80,45.20,46.30,47.20,48.00,48.40,48.80
0,12,14.99,46.99,1.50,44.40,44.70,45.30,46.20,47.00,47.80,48.60,49.40,49.90
0,15,17.99,47.60,1.36,45.00,45.70,46.10,46.70,47.50,48.50,49.10,49.90,50.20
0,18,20.99,47.99,1.37,45.20,45.50,46.20,47.20,48.00,48.90,49.70,50.10,50.40
0,21,23.99,48.42,1.71,46.00,46.30,46.70,47.60,48.30,49.50,50.10,50.50,51.30
0,24,29.99,48.95,1.49,46.10,46.40,47.00,48.10,49.00,49.90,50.70,51.20,51.60
0,30,35.99,49.45,1.68,46.20,47.00,47.50,48.50,49.50,50.40,51.20,52.00,52.20
1,2,2.99,38.73,1.19,36.90,37.10,37.10,37.80,38.60,39.70,40.30,41.20,41.20
1,3,3.99,40.53,1.16,38.70,39.00,39.30,39.80,40.30,41.20,42.00,42.60,43.20
1,4,4.99,41.44,1.65,38.90,39.20,39.60,40.40,41.50,42.40,43.00,43.40,44.70
1,5,5.99,42.08,1.14,39.90,40.20,40.70,41.40,42.00,42.60,44.00,44.40,44.40
1,6,6.99,42.81,1.29,40.70,40.80,41.20,41.80,42.60,43.90,44.80,45.00,45.50
1,7,7.99,43.06,1.53,39.90,40.30,41.30,42.40,43.20,44.00,44.70,45.20,45.70
1,8,8.99,44.12,1.54,41.60,42.20,42.70,43.20,44.00,45.10,45.60,46.40,47.20
1,9,9.99,44.33,1.13,42.20,42.60,42.80,43.70,44.30,45.00,46.00,46.20,46.40
1,10,10.99,44.58,1.24,42.00,42.40,43.00,44.00,44.50,45.40,46.30,46.70,47.00
1,11,11.99,45.14,1.24,42.50,43.20,43.50,44.20,45.30,46.00,46.50,47.20,47.60
1,12,14.99,45.52,1.40,43.10,43.50,43.80,44.60,45.60,46.30,47.00,48.00,48.10
1,15,17.99,45.96,1.47,43.50,43.80,44.50,45.20,46.00,46.90,47.70,48.10,48.50
1,18,20.99,46.59,1.54,43.40,44.00,44.80,45.60,46.50,47.60,48.60,49.20,49.60
1,21,23.99,47.41,1.69,45.00,45.40,45.70,46.40,47.50,48.20,49.00,49.60,49.60
1,24,29.99,47.70,1.51,44.70,45.00,46.00,46.80,47.80,48.60,49.40,49.90,50.20
1,30,35.99,48.46,1.63,45.90,46.20,46.50,47.50,48.40,49.30,50.20,50.80,51.40
