#gender,agelow,agehigh,MeanSt,Dev3rd,5th,10th,25th,50th,75th,85th,90th,95th,97th
0,0,0.99,52.04,2.46,48.3,48.3,48.8,50.8,52.1,53.3,55.8,55.9,56.8
0,1,1.99,55.54,2.53,50.8,51.4,52.1,53.3,55.9,57.2,58.7,59.7,60.9
0,2,2.99,58.73,2.5,54.6,54.6,55.9,56.8,58.4,60.6,62.2,63.4,63.5
0,3,3.99,62.09,2.52,57.8,58.3,59,60.3,61.9,63.5,65.3,66.6,67.3
0,4,4.99,64.15,2.58,59.6,60,61,62.5,64.1,66,67.3,68.6,68.6
0,5,5.99,66.68,3.36,62.7,63,63.5,65,66.6,67.9,69.7,71.3,71.3
0,6,6.99,68.49,2.45,64.6,64.8,65.8,66.8,68.2,70.2,71.7,71.9,72.8
0,7,7.99,70.17,3.74,64.4,65.2,65.8,67.8,69.6,72.2,74.5,75.7,76.4
0,8,8.99,71.69,3.03,67,67.7,68.4,69.6,71.3,73.8,74.9,76.2,78.3
0,9,9.99,72.52,2.93,67.7,67.9,68.9,70.8,72.6,74,76,76.6,78.8
0,10,10.99,73.18,2.72,68.5,69.5,70.3,71.5,73.3,75,76.5,77.8,78.2
0,11,11.99,74.95,3.2,67.8,69.8,71.4,73.4,75,76.8,78.6,79.7,80
0,12,14.99,77.81,4.33,72.4,72.9,74.1,75.7,77.3,79.5,82,82.9,83.8
0,15,17.99,80.64,2.96,75.5,76.2,77,78.8,80.4,82.5,84.3,85.5,85.9
0,18,20.99,83.75,4.05,76.2,77.8,80,81.6,83.7,86,88.4,90.2,91.9
0,21,23.99,86.33,3.22,80.4,80.7,82.3,84.4,86.4,88.2,89.9,90.9,93
0,24,29.99,89.18,3.62,82.1,83,84.8,87,89.1,91.3,93.9,95.5,96
0,30,35.99,93.47,3.74,86,87,88.7,91.1,93.6,95.9,97.8,99.9,100.7
1,0,0.99,51.26,2.28,47.3,48.2,48.3,49.5,50.8,53.3,54,55.2,55.9
1,1,1.99,54.54,2.32,50.8,50.8,51.4,53.3,54.3,55.9,57.8,58.4,59
1,2,2.99,57.4,2.29,53.3,53.7,54.6,55.9,57.2,58.7,60.3,61,61.6
1,3,3.99,60.79,2.74,55.9,56.7,57.5,59.1,61,62.5,63.8,64.8,65.5
1,4,4.99,62.57,2.68,57.3,58,58.4,61,62.8,64.1,66,67.1,67.7
1,5,5.99,64.53,2.01,61.2,61.2,61.7,63.2,64.6,65.8,67.1,68,68.2
1,6,6.99,66.91,3.34,62.8,63.3,64,65,66.7,68.4,70,70.9,71.6
1,7,7.99,67.28,2.91,61.4,62.2,63.4,66,67.4,68.7,70.9,72.1,72.8
1,8,8.99,69.01,2.59,64,64.9,65.6,67.4,68.8,70.7,72,73.1,74.3
1,9,9.99,71.01,2.61,66.5,66.8,67.8,69.5,71,72.7,74,75.5,77.4
1,10,10.99,72,2.77,66,67.1,68.7,70.3,72.1,73.8,75.4,76.5,77.4
1,11,11.99,73.37,3.96,65.8,68.6,68.8,71.8,73.5,74.9,76.7,78.3,78.8
1,12,14.99,75.83,3.24,69.9,70,71.4,73.8,76.2,77.6,79.4,80.5,81
1,15,17.99,78.64,3.01,72.4,73,75,76.9,78.9,80.5,82.1,83,84.1
1,18,20.99,81.92,3.77,74.8,76.1,77.5,79.6,81.6,84.5,86.8,87.5,89.1
1,21,23.99,84.7,3.37,79.1,79.2,80.7,82.4,84.5,87,88.8,89.9,90.4
1,24,29.99,87.97,3.7,80.8,82.4,83.8,85.6,88,90.1,92.9,94.4,95.3
1,30,35.99,92.49,3.59,85.9,86.5,87.9,90.1,92.3,95,97.2,98.5,99.7
