#gender,agelow,agehigh,MeanSt,Dev3rd,5th,10th,25th,50th,75th,85th,90th,95th,97th
0,2,2.99,6.47,0.79,4.85,4.95,5.55,5.80,6.70,6.85,7.40,7.45,7.80
0,3,3.99,6.96,0.85,5.30,5.35,5.90,6.51,6.95,7.45,8.15,8.45,8.65
0,4,4.99,7.15,0.78,5.50,5.95,6.30,6.65,7.15,7.70,8.00,8.40,8.45
0,5,5.99,7.93,0.92,6.45,6.45,6.70,7.45,7.80,8.55,9.35,9.55,9.75
0,6,6.99,8.41,1.07,6.45,7.00,7.25,7.60,8.39,9.00,10.20,10.70,10.70
0,7,7.99,8.64,1.13,6.90,6.92,7.10,7.83,8.62,9.50,10.09,10.40,10.75
0,8,8.99,9.26,1.13,7.48,7.48,7.85,8.55,9.19,10.05,10.50,11.00,11.25
0,9,9.99,9.33,0.94,7.82,8.05,8.15,8.62,9.30,9.98,10.75,10.89,11.34
0,10,10.99,9.46,1.10,7.75,7.94,8.28,8.73,9.30,10.05,11.25,11.45,11.55
0,11,11.99,9.98,0.99,8.05,8.25,8.65,9.45,9.98,10.60,11.10,11.60,12.00
0,12,14.99,10.59,1.17,8.65,8.90,9.20,9.75,10.55,11.34,12.13,12.35,12.81
0,15,17.99,11.39,1.86,9.30,9.45,9.87,10.45,11.25,12.02,12.81,13.49,13.95
0,18,20.99,12.07,1.54,9.75,9.98,10.43,11.00,11.91,12.70,13.90,15.45,15.65
0,21,23.99,12.43,1.33,10.15,10.40,10.89,11.57,12.36,13.10,14.40,14.74,14.97
0,24,29.99,13.14,1.65,10.55,10.95,11.34,12.10,12.93,14.06,15.08,15.77,16.67
0,30,35.99,13.96,1.53,11.23,11.57,12.02,13.01,13.83,14.74,15.99,16.56,17.30
1,2,2.99,5.44,0.54,4.60,4.60,4.75,5.00,5.55,5.85,6.00,6.20,6.35
1,3,3.99,6.34,0.72,5.15,5.40,5.55,5.80,6.30,6.80,7.35,7.75,7.75
1,4,4.99,6.74,0.89,5.25,5.30,5.80,6.05,6.60,7.40,8.00,8.30,8.45
1,5,5.99,7.28,0.88,5.90,6.10,6.30,6.70,7.10,7.70,8.45,8.75,9.05
1,6,6.99,7.66,0.80,6.50,6.58,6.58,7.10,7.55,8.10,8.90,8.96,9.00
1,7,7.99,8.04,1.42,6.24,6.35,6.70,7.37,7.82,8.62,9.35,9.80,9.95
1,8,8.99,8.30,0.94,6.46,6.75,7.25,7.80,8.28,8.85,9.35,9.75,10.10
1,9,9.99,8.85,0.93,7.25,7.40,7.75,8.10,8.73,9.41,10.10,10.45,11.00
1,10,10.99,9.03,1.06,7.30,7.37,7.75,8.39,9.00,9.50,10.43,10.89,11.50
1,11,11.99,9.26,1.01,7.48,7.48,7.90,8.62,9.15,10.05,10.55,10.85,11.10
1,12,14.99,9.79,1.05,8.05,8.28,8.50,9.07,9.80,10.43,11.30,11.57,11.68
1,15,17.99,10.42,1.11,8.65,8.80,9.10,9.65,10.32,11.23,11.80,12.02,12.60
1,18,20.99,11.11,1.36,8.85,9.15,9.64,10.15,10.95,11.91,12.81,13.50,13.95
1,21,23.99,11.81,1.33,9.45,9.75,10.09,10.89,11.79,12.75,13.49,13.90,14.17
1,24,29.99,12.48,1.51,9.95,10.25,10.77,11.45,12.36,13.30,14.51,15.08,15.42
1,30,35.99,13.61,1.69,11.00,11.23,11.79,12.47,13.42,14.52,15.65,16.44,17.10
