GEO.id2,HC03_EST_VC01,GEO.id2,HC02_EST_VC03,HC02_EST_VC04,HC02_EST_VC05,HC02_EST_VC06,HC02_EST_VC09,HC02_EST_VC10,HC02_EST_VC11,HC02_EST_VC12,HC02_EST_VC13,HC02_EST_VC14,HC02_EST_VC15,HC02_EST_VC17,HC02_EST_VC18,GEO.id2,HC04_EST_VC01,GEO.id2,HC04_EST_VC26,GEO.id2,HD01_VD01
Id2,Percent with a disability; Estimate; Total civilian noninstitutionalized population,Id2,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Percent; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),Percent; Estimate; Population 18 to 24 years - Some college or associate's degree,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent high school graduate or higher,Percent; Estimate; Percent bachelor's degree or higher,Id2,Percent households receiving food stamps/SNAP; Estimate; Households,Id2,Unemployment rate; Estimate; Population 20 to 64 years,Id2,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
36005000100,-,36005000100,73.5,19.8,6.7,0,11,53.5,21.1,12.4,0.6,0.6,0.6,35.5,1.3,36005000100,-,36005000100,-,36005000100,-
36005000200,14.5,36005000200,42.9,22.9,24.2,10.1,11.2,12.2,31.6,19.2,10,12.5,3.3,76.6,15.7,36005000200,25.8,36005000200,7.5,36005000200,72034
36005000400,10.8,36005000400,27.2,19.5,50.3,3,5.1,11.6,23.7,21.9,14.6,14.5,8.7,83.3,23.2,36005000400,22.8,36005000400,9.6,36005000400,74836
36005001600,12.8,36005001600,10.4,23.1,54.6,11.9,14,15.8,31.6,18.7,6.6,9.1,4.2,70.1,13.3,36005001600,33.7,36005001600,8.9,36005001600,32312
36005001900,13.9,36005001900,26.7,17.4,37.2,18.6,9,15.3,26.3,23.6,5.8,13.8,6.2,75.6,20,36005001900,30,36005001900,19.6,36005001900,37936
36005002000,22.4,36005002000,38.5,31.8,25.6,4.1,16.1,18.7,33.6,12.3,9.8,6.5,2.9,65.2,9.4,36005002000,51.2,36005002000,16.5,36005002000,18086
36005002300,29.3,36005002300,40.2,27.7,28,4,24.4,21.9,30.5,16.3,2.5,3.1,1.3,53.7,4.4,36005002300,74.6,36005002300,16,36005002300,14479
36005002400,0,36005002400,-,-,-,-,0,0,0,36.3,0,26.5,37.2,100,63.7,36005002400,0,36005002400,0,36005002400,-
36005002500,20,36005002500,38.5,14.8,43.6,3.2,25.5,18.1,29,16.7,2.5,5.2,3.1,56.3,8.2,36005002500,62,36005002500,9.9,36005002500,17226
36005002701,14.2,36005002701,28.9,24.7,46.3,0,18.4,21.5,30.7,15.7,4.9,5.5,3.3,60.1,8.9,36005002701,65.8,36005002701,14.7,36005002701,20153
36005002702,17.3,36005002702,42.5,34.3,21.9,1.4,24.4,26.3,19.8,16.9,5.6,6.6,0.4,49.3,7,36005002702,49.6,36005002702,9.4,36005002702,17147
36005002800,16.5,36005002800,9.3,45.1,25.1,20.5,8.1,7.4,31,19,13.3,16.1,5,84.5,21.1,36005002800,13.8,36005002800,13.6,36005002800,49529
36005003100,8,36005003100,3.2,43.1,50.9,2.8,28.7,19.3,22,14.7,7.8,7.6,0,52.1,7.6,36005003100,32.1,36005003100,6,36005003100,37250
36005003300,12.4,36005003300,20,36.9,38.6,4.5,25.8,19.9,24.1,12.4,8.1,7.3,2.3,54.3,9.6,36005003300,68.8,36005003300,16.6,36005003300,19923
36005003500,14.1,36005003500,21.9,25,46.4,6.7,22.7,27,26.7,11.7,1.7,9.5,0.7,50.4,10.2,36005003500,49.3,36005003500,11.9,36005003500,26541
36005003700,36.2,36005003700,52.5,0,47.5,0,13.6,21.2,38.6,12.5,9.2,2.2,2.7,65.2,4.9,36005003700,35.6,36005003700,11.1,36005003800,37685
36005003800,10.7,36005003800,12.3,68.9,18.9,0,17.2,12.6,26.4,23.7,8.7,5.9,5.6,70.3,11.5,36005003800,33.8,36005003800,13.8,36005003900,25990
36005003900,12.8,36005003900,51.8,18.2,22.8,7.2,33.5,13.4,26.6,9.8,5.5,9.1,2,53.1,11.2,36005003900,45.8,36005003900,8.8,36005004001,48056
36005004001,12.1,36005004001,7,22.8,70.2,0,12.8,14.2,29.3,18.9,11.7,10.6,2.4,73,13,36005004001,11,36005004001,6.5,36005004100,18636
