icd |10hcchccesrd
A0103 A0222 A065 A202 A212 A221 A420 A430 A5484 B380 B381 B382 B390 B391 B392 B400 B401 B402 B410 B664 B671 J13 J14 J153 J154 J181 J850 J851 J852 J853 J860 J869 |10hcc115:Pneumococcal Pneumonia, Empyema, Lung Abscess
A0104 A0105 A0223 A0224 A3983 A3984 A5055 A5440 A5441 A5442 A5443 A5449 A666 A6923 B0682 B2685 B4282 M0000 M00011 M00012 M00019 M00021 M00022 M00029 M00031 M00032 M00039 M00041 M00042 M00049 M00051 M00052 M00059 M00061 M00062 M00069 M00071 M00072 M00079 M0008 M0009 M0010 M00111 M00112 M00119 M00121 M00122 M00129 M00131 M00132 M00139 M00141 M00142 M00149 M00151 M00152 M00159 M00161 M00162 M00169 M00171 M00172 M00179 M0018 M0019 M0020 M00211 M00212 M00219 M00221 M00222 M00229 M00231 M00232 M00239 M00241 M00242 M00249 M00251 M00252 M00259 M00261 M00262 M00269 M00271 M00272 M00279 M0028 M0029 M0080 M00811 M00812 M00819 M00821 M00822 M00829 M00831 M00832 M00839 M00841 M00842 M00849 M00851 M00852 M00859 M00861 M00862 M00869 M00871 M00872 M00879 M0088 M0089 M009 M01X0 M01X11 M01X12 M01X19 M01X21 M01X22 M01X29 M01X31 M01X32 M01X39 M01X41 M01X42 M01X49 M01X51 M01X52 M01X59 M01X61 M01X62 M01X69 M01X71 M01X72 M01X79 M01X8 M01X9 M0210 M02111 M02112 M02119 M02121 M02122 M02129 M02131 M02132 M02139 M02141 M02142 M02149 M02151 M02152 M02159 M02161 M02162 M02169 M02171 M02172 M02179 M0218 M0219 M0280 M02811 M02812 M02819 M02821 M02822 M02829 M02831 M02832 M02839 M02841 M02842 M02849 M02851 M02852 M02859 M02861 M02862 M02869 M02871 M02872 M02879 M0288 M0289 M029 M4620 M4621 M4622 M4623 M4624 M4625 M4626 M4627 M4628 M4630 M4631 M4632 M4633 M4634 M4635 M4636 M4637 M4638 M4639 M726 M8600 M86011 M86012 M86019 M86021 M86022 M86029 M86031 M86032 M86039 M86041 M86042 M86049 M86051 M86052 M86059 M86061 M86062 M86069 M86071 M86072 M86079 M8608 M8609 M8610 M86111 M86112 M86119 M86121 M86122 M86129 M86131 M86132 M86139 M86141 M86142 M86149 M86151 M86152 M86159 M86161 M86162 M86169 M86171 M86172 M86179 M8618 M8619 M8620 M86211 M86212 M86219 M86221 M86222 M86229 M86231 M86232 M86239 M86241 M86242 M86249 M86251 M86252 M86259 M86261 M86262 M86269 M86271 M86272 M86279 M8628 M8629 M8630 M86311 M86312 M86319 M86321 M86322 M86329 M86331 M86332 M86339 M86341 M86342 M86349 M86351 M86352 M86359 M86361 M86362 M86369 M86371 M86372 M86379 M8638 M8639 M8640 M86411 M86412 M86419 M86421 M86422 M86429 M86431 M86432 M86439 M86441 M86442 M86449 M86451 M86452 M86459 M86461 M86462 M86469 M86471 M86472 M86479 M8648 M8649 M8650 M86511 M86512 M86519 M86521 M86522 M86529 M86531 M86532 M86539 M86541 M86542 M86549 M86551 M86552 M86559 M86561 M86562 M86569 M86571 M86572 M86579 M8658 M8659 M8660 M86611 M86612 M86619 M86621 M86622 M86629 M86631 M86632 M86639 M86641 M86642 M86649 M86651 M86652 M86659 M86661 M86662 M86669 M86671 M86672 M86679 M8668 M8669 M868X0 M868X1 M868X2 M868X3 M868X4 M868X5 M868X6 M868X7 M868X8 M868X9 M869 M8700 M87011 M87012 M87019 M87021 M87022 M87029 M87031 M87032 M87033 M87034 M87035 M87036 M87037 M87038 M87039 M87041 M87042 M87043 M87044 M87045 M87046 M87050 M87051 M87052 M87059 M87061 M87062 M87063 M87064 M87065 M87066 M87071 M87072 M87073 M87074 M87075 M87076 M87077 M87078 M87079 M8708 M8709 M8710 M87111 M87112 M87119 M87121 M87122 M87129 M87131 M87132 M87133 M87134 M87135 M87136 M87137 M87138 M87139 M87141 M87142 M87143 M87144 M87145 M87146 M87150 M87151 M87152 M87159 M87161 M87162 M87163 M87164 M87165 M87166 M87171 M87172 M87173 M87174 M87175 M87176 M87177 M87178 M87179 M87180 M87188 M8719 M8720 M87211 M87212 M87219 M87221 M87222 M87229 M87231 M87232 M87233 M87234 M87235 M87236 M87237 M87238 M87239 M87241 M87242 M87243 M87244 M87245 M87246 M87250 M87251 M87252 M87256 M87261 M87262 M87263 M87264 M87265 M87266 M87271 M87272 M87273 M87274 M87275 M87276 M87277 M87278 M87279 M8728 M8729 M8730 M87311 M87312 M87319 M87321 M87322 M87329 M87331 M87332 M87333 M87334 M87335 M87336 M87337 M87338 M87339 M87341 M87342 M87343 M87344 M87345 M87346 M87350 M87351 M87352 M87353 M87361 M87362 M87363 M87364 M87365 M87366 M87371 M87372 M87373 M87374 M87375 M87376 M87377 M87378 M87379 M8738 M8739 M8780 M87811 M87812 M87819 M87821 M87822 M87829 M87831 M87832 M87833 M87834 M87835 M87836 M87837 M87838 M87839 M87841 M87842 M87843 M87844 M87845 M87849 M87850 M87851 M87852 M87859 M87861 M87862 M87863 M87864 M87865 M87869 M87871 M87872 M87873 M87874 M87875 M87876 M87877 M87878 M87879 M8788 M8789 M879 M8960 M89611 M89612 M89619 M89621 M89622 M89629 M89631 M89632 M89639 M89641 M89642 M89649 M89651 M89652 M89659 M89661 M89662 M89669 M89671 M89672 M89679 M8968 M8969 M9050 M90511 M90512 M90519 M90521 M90522 M90529 M90531 M90532 M90539 M90541 M90542 M90549 M90551 M90552 M90559 M90561 M90562 M90569 M90571 M90572 M90579 M9058 M9059 |10hcc39:Bone/Joint/Muscle Infections/Necrosis
A021 A207 A227 A267 A327 A392 A393 A394 A400 A401 A403 A408 A409 A4101 A4102 A411 A412 A413 A414 A4150 A4151 A4152 A4153 A4159 A4181 A4189 A419 A427 A483 A5486 B007 B377 P360 P3610 P3619 P362 P3630 P3639 P364 P365 P368 P369 R571 R578 R6510 R6511 R6520 R6521 T8112XA |10hcc2:Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock
A072 A310 A312 B250 B251 B252 B258 B259 B371 B377 B3781 B440 B441 B442 B447 B4489 B449 B450 B451 B452 B453 B457 B458 B459 B460 B461 B462 B463 B464 B465 B468 B469 B484 B488 B582 B583 B59 |10hcc6:Opportunistic Infections
A3681 B3324 I0981 I110 I130 I132 I2601 I2602 I2609 I270 I271 I272 I2781 I2789 I279 I280 I281 I288 I289 I420 I421 I422 I423 I424 I425 I426 I427 I428 I429 I43 I501 I5020 I5021 I5022 I5023 I5030 I5031 I5032 I5033 I5040 I5041 I5042 I5043 I509 I514 I515 |10hcc85:Congestive Heart Failure
A3684 A985 B520 D8684 E0821 E0829 E0921 E0929 E1021 E1029 E1121 E1129 E1321 E1329 M3214 M3215 M3504 N000 N001 N002 N003 N004 N005 N006 N007 N008 N009 N010 N011 N012 N013 N014 N015 N016 N017 N018 N019 N020 N021 N022 N023 N024 N025 N026 N027 N028 N029 N030 N031 N032 N033 N034 N035 N036 N037 N038 N039 N040 N041 N042 N043 N044 N045 N046 N047 N048 N049 N050 N051 N052 N053 N054 N055 N056 N057 N058 N059 N060 N061 N062 N063 N064 N065 N066 N067 N068 N069 N070 N071 N072 N073 N074 N075 N076 N077 N078 N079 N08 N140 N141 N142 N143 N144 N150 N158 |10hcc141
A391 C880 D841 D891 E035 E15 E200 E208 E209 E210 E211 E212 E213 E214 E215 E220 E221 E222 E228 E229 E230 E231 E232 E233 E236 E237 E240 E241 E242 E243 E244 E248 E249 E250 E258 E259 E2601 E2602 E2609 E261 E2681 E2689 E269 E270 E271 E272 E273 E2740 E2749 E275 E278 E279 E310 E311 E3120 E3121 E3122 E3123 E318 E319 E320 E321 E328 E329 E344 E700 E701 E7020 E7021 E7029 E7030 E70310 E70311 E70318 E70319 E70320 E70321 E70328 E70329 E70330 E70331 E70338 E70339 E7039 E7040 E7041 E7049 E705 E708 E709 E710 E71110 E71111 E71118 E71120 E71121 E71128 E7119 E712 E71310 E71311 E71312 E71313 E71314 E71318 E7132 E7139 E7140 E7141 E7142 E7143 E71440 E71448 E7150 E71510 E71511 E71518 E71520 E71521 E71522 E71528 E71529 E7153 E71540 E71541 E71542 E71548 E7200 E7201 E7202 E7203 E7204 E7209 E7210 E7211 E7212 E7219 E7220 E7221 E7222 E7223 E7229 E723 E724 E7250 E7251 E7252 E7253 E7259 E728 E729 E7400 E7401 E7402 E7403 E7404 E7409 E7420 E7421 E7429 E744 E748 E749 E7521 E7522 E75240 E75241 E75242 E75243 E75248 E75249 E753 E7601 E7602 E7603 E761 E76210 E76211 E76219 E7622 E7629 E763 E768 E769 E770 E771 E778 E779 E791 E792 E798 E799 E800 E801 E8020 E8021 E8029 E803 E83110 E850 E851 E852 E853 E854 E858 E859 E8801 E8840 E8841 E8842 E8849 E8889 E892 E893 E896 H49811 H49812 H49813 H49819 N251 N2581 |10hcc23:Other Significant Endocrine and Metabolic Disorders
A480 E0852 E0952 E1052 E1152 E1352 I70231 I70232 I70233 I70234 I70235 I70238 I70239 I70241 I70242 I70243 I70244 I70245 I70248 I70249 I7025 I70261 I70262 I70263 I70268 I70269 I70331 I70332 I70333 I70334 I70335 I70338 I70339 I70341 I70342 I70343 I70344 I70345 I70348 I70349 I7035 I70361 I70362 I70363 I70368 I70369 I70431 I70432 I70433 I70434 I70435 I70438 I70439 I70441 I70442 I70443 I70444 I70445 I70448 I70449 I7045 I70461 I70462 I70463 I70468 I70469 I70531 I70532 I70533 I70534 I70535 I70538 I70539 I70541 I70542 I70543 I70544 I70545 I70548 I70549 I7055 I70561 I70562 I70563 I70568 I70569 I70631 I70632 I70633 I70634 I70635 I70638 I70639 I70641 I70642 I70643 I70644 I70645 I70648 I70649 I7065 I70661 I70662 I70663 I70668 I70669 I70731 I70732 I70733 I70734 I70735 I70738 I70739 I70741 I70742 I70743 I70744 I70745 I70748 I70749 I7075 I70761 I70762 I70763 I70768 I70769 I7301 I96 |10hcc106:Atherosclerosis of the Extremities with Ulceration or Gangrene
A481 J150 J151 J1520 J15211 J15212 J1529 J155 J156 J158 J690 J691 J698 J95851 |10hcc114:Aspiration and Specified Bacterial Pneumonias
A5204 G450 G451 G452 G458 G459 G460 G461 G462 G463 G464 G465 G466 G467 G468 I6501 I6502 I6503 I6509 I651 I6521 I6522 I6523 I6529 I658 I659 I6601 I6602 I6603 I6609 I6611 I6612 I6613 I6619 I6621 I6622 I6623 I6629 I663 I668 I669 I672 I675 I676 I677 I6781 I6782 I67841 I67848 I6789 I679 I680 I682 I688 |10hccrx206
A5485 K251 K252 K255 K256 K261 K262 K265 K266 K271 K272 K275 K276 K281 K282 K285 K286 K50012 K50112 K50812 K50912 K51012 K51212 K51312 K51412 K51512 K51812 K51912 K560 K561 K562 K563 K5641 K5649 K565 K5660 K5669 K567 K631 K650 K651 K652 K653 K654 K658 K659 K67 K6812 K6819 |10hcc33:Intestinal Obstruction/Perforation
A8100 A8101 A8109 A811 A812 A8181 A8182 A8183 A8189 A819 E7500 E7501 E7502 E7509 E7510 E7511 E7519 E7523 E7525 E7529 E754 F0150 F0280 F0390 F04 G132 G138 G300 G301 G308 G309 G3101 G3109 G311 G312 G3181 G3182 G3183 G3185 G3189 G319 G937 I673 |10hcc52
B0082 B0112 B0224 G041 G0489 G0491 G054 G110 G111 G112 G113 G114 G118 G119 G120 G121 G128 G129 G320 G3281 G373 G374 G834 G901 G950 G9511 G9519 G9520 G9529 G9581 G9589 G959 G992 Q000 Q001 Q002 Q010 Q011 Q012 Q018 Q019 Q02 Q030 Q031 Q038 Q039 Q040 Q041 Q042 Q043 Q044 Q045 Q046 Q048 Q049 Q050 Q051 Q052 Q053 Q054 Q055 Q056 Q057 Q058 Q059 Q060 Q061 Q062 Q063 Q064 Q068 Q069 Q0700 Q0701 Q0702 Q0703 Q078 Q079 S140XXA S140XXD S140XXS S14101A S14101D S14101S S14102A S14102D S14102S S14103A S14103D S14103S S14104A S14104D S14104S S14105A S14105D S14105S S14106A S14106D S14106S S14107A S14107D S14107S S14108A S14108D S14108S S14109A S14109D S14109S S14121A S14121D S14121S S14122A S14122D S14122S S14123A S14123D S14123S S14124A S14124D S14124S S14125A S14125D S14125S S14126A S14126D S14126S S14127A S14127D S14127S S14128A S14128D S14128S S14129A S14129D S14129S S14131A S14131D S14131S S14132A S14132D S14132S S14133A S14133D S14133S S14134A S14134D S14134S S14135A S14135D S14135S S14136A S14136D S14136S S14137A S14137D S14137S S14138A S14138D S14138S S14139A S14139D S14139S S14141A S14141D S14141S S14142A S14142D S14142S S14143A S14143D S14143S S14144A S14144D S14144S S14145A S14145D S14145S S14146A S14146D S14146S S14147A S14147D S14147S S14148A S14148D S14148S S14149A S14149D S14149S S14151A S14151D S14151S S14152A S14152D S14152S S14153A S14153D S14153S S14154A S14154D S14154S S14155A S14155D S14155S S14156A S14156D S14156S S14157A S14157D S14157S S14158A S14158D S14158S S14159A S14159D S14159S S240XXA S240XXD S240XXS S24101A S24101D S24101S S24102A S24102D S24102S S24103A S24103D S24103S S24104A S24104D S24104S S24109A S24109D S24109S S24131A S24131D S24131S S24132A S24132D S24132S S24133A S24133D S24133S S24134A S24134D S24134S S24139A S24139D S24139S S24141A S24141D S24141S S24142A S24142D S24142S S24143A S24143D S24143S S24144A S24144D S24144S S24149A S24149D S24149S S24151A S24151D S24151S S24152A S24152D S24152S S24153A S24153D S24153S S24154A S24154D S24154S S24159A S24159D S24159S S3401XA S3401XD S3401XS S3402XA S3402XD S3402XS S34101A S34101D S34101S S34102A S34102D S34102S S34103A S34103D S34103S S34104A S34104D S34104S S34105A S34105D S34105S S34109A S34109D S34109S S34111A S34111D S34111S S34112A S34112D S34112S S34113A S34113D S34113S S34114A S34114D S34114S S34115A S34115D S34115S S34119A S34119D S34119S S34121A S34121D S34121S S34122A S34122D S34122S S34123A S34123D S34123S S34124A S34124D S34124S S34125A S34125D S34125S S34129A S34129D S34129S S34131A S34131D S34131S S34132A S34132D S34132S S34139A S34139D S34139S S343XXA |10hcc72:Spinal Cord Disorders/Injuries
B0221 B0222 B0223 B0229 G500 G501 G508 G509 |10hccrx168
B180 B181 B182 B188 B189 K730 K731 K732 K738 K739 K754 |10hcc29:Chronic Hepatitis
B20 B9735 Z21 |10hcc1:HIV/AIDS
B4481 D860 D862 J470 J471 J479 J60 J61 J620 J628 J630 J631 J632 J633 J634 J635 J636 J64 J65 J660 J661 J662 J668 J670 J671 J672 J673 J674 J675 J676 J677 J678 J679 J680 J681 J682 J683 J684 J688 J689 J700 J701 J702 J703 J704 J705 J708 J709 J82 J8401 J8402 J8403 J8409 J8410 J84111 J84112 J84113 J84114 J84115 J84116 J84117 J8417 J842 J8481 J8482 J8483 J84841 J84842 J84843 J84848 J8489 J849 J99 M3213 M3301 M3311 M3321 M3391 M3481 M3502 |10hcc112:Fibrosis of Lung and Other Chronic Lung Disorders
C01 C020 C021 C022 C023 C024 C028 C029 C030 C031 C039 C040 C041 C048 C049 C050 C051 C052 C058 C059 C060 C061 C062 C0680 C0689 C069 C07 C080 C081 C089 C090 C091 C098 C099 C100 C101 C102 C103 C104 C108 C109 C110 C111 C112 C113 C118 C119 C12 C130 C131 C132 C138 C139 C140 C142 C148 C180 C181 C182 C183 C184 C185 C186 C187 C188 C189 C19 C20 C210 C211 C212 C218 C260 C261 C269 C300 C301 C310 C311 C312 C313 C318 C319 C320 C321 C322 C323 C328 C329 C37 C380 C381 C382 C383 C388 C390 C399 C510 C511 C512 C518 C519 C52 C530 C531 C538 C539 C577 C578 C579 C641 C642 C649 C651 C652 C659 C661 C662 C669 C670 C671 C672 C673 C674 C675 C676 C677 C678 C679 C680 C681 C688 C689 |10hcc11:Colorectal, Bladder, and Other Cancers
