icd |9hcchcc2013
31 202 223 362 380 3810 3811 3812 3819 382 383 3840 3841 3842 3843 3844 3849 388 389 4082 545 77181 78552 78559 99802 |9hcc2:Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock
322 64 203 204 205 212 221 391 1140 1144 1145 11505 11515 11595 1212 1221 1304 481 4822 48230 48231 48232 48239 4846 4847 5100 5109 5130 5131 |9hcc112:Fibrosis of Lung and Other Chronic Lung Disorders
323 324 3682 5671 9850 9851 9852 9853 9859 1026 71100 71101 71102 71103 71104 71105 71106 71107 71108 71109 71110 71111 71112 71113 71114 71115 71116 71117 71118 71119 71120 71121 71122 71123 71124 71125 71126 71127 71128 71129 71130 71131 71132 71133 71134 71135 71136 71137 71138 71139 71140 71141 71142 71143 71144 71145 71146 71147 71148 71149 71150 71151 71152 71153 71154 71155 71156 71157 71158 71159 71160 71161 71162 71163 71164 71165 71166 71167 71168 71169 71170 71171 71172 71173 71174 71175 71176 71177 71178 71179 71180 71181 71182 71183 71184 71185 71186 71187 71188 71189 71190 71191 71192 71193 71194 71195 71196 71197 71198 71199 72886 73000 73001 73002 73003 73004 73005 73006 73007 73008 73009 73010 73011 73012 73013 73014 73015 73016 73017 73018 73019 73020 73021 73022 73023 73024 73025 73026 73027 73028 73029 73030 73031 73032 73033 73034 73035 73036 73037 73038 73039 73070 73071 73072 73073 73074 73075 73076 73077 73078 73079 73080 73081 73082 73083 73084 73085 73086 73087 73088 73089 73090 73091 73092 73093 73094 73095 73096 73097 73098 73099 73340 73341 73342 73343 73344 73345 73349 |9hcc37
74 310 312 785 1124 1125 11284 1173 1175 1177 1300 1308 1363 3210 4841 |9hcc5
3283 9886 53110 53111 53120 53121 53150 53151 53160 53161 53210 53211 53220 53221 53250 53251 53260 53261 53310 53311 53320 53321 53350 53351 53360 53361 53410 53411 53420 53421 53450 53451 53460 53461 5600 5601 5602 56030 56031 56032 56039 56081 56089 5609 5670 5671 56721 56722 56723 56729 56731 56738 56739 56781 56782 56789 5679 56983 |9hcc31
363 2510 25200 25201 25202 25208 2521 2528 2529 2530 2531 2532 2533 2534 2535 2536 2537 2538 2539 2540 2541 2548 2549 2550 25510 25511 25512 25513 25514 2552 2553 25541 25542 2555 2556 2558 2559 25801 25802 25803 2581 2588 2589 2700 2701 2702 2703 2704 2705 2706 2707 2708 2709 2710 2711 2714 2718 2719 2727 2732 2733 2734 27501 2771 2772 27730 27731 27739 2775 2776 27781 27782 27783 27784 27785 27786 27787 27789 5881 58881 |9hccrx23
400 41511 41512 41513 41519 4162 44023 44024 44100 44101 44102 44103 4411 4413 4415 4416 44321 44322 44323 44324 44329 44401 44409 4441 44421 44422 44481 44489 4449 44501 44502 44581 44589 449 5570 59381 7854 |9hcc104:Monoplegia, Other Paralytic Syndromes
402 723 2514 2515 2518 2519 5770 5771 5772 5778 5779 5790 5791 5792 5793 5794 5798 5799 |9hcc32
42 7953 V08 |9hcc1:HIV/AIDS
460 4611 4619 462 463 4671 4672 4679 468 469 5310 5311 5312 5313 5319 2386 2400 2409 2410 2411 2419 24200 24201 24210 24211 24220 24221 24230 24231 24240 24241 24280 24281 24290 24291 243 2440 2441 2442 2443 2448 2449 2450 2451 2452 2453 2454 2458 2459 2460 2461 2462 2463 2468 2469 2680 2682 2720 2721 2722 2723 2724 2725 2728 2729 27503 27509 2751 2753 2900 29010 29011 29012 29013 29020 29021 2903 29040 29041 29042 29043 2908 2909 2940 29410 29411 29420 29421 2948 2949 29900 29901 29910 29911 29980 29981 29990 29991 30001 30002 30010 30011 30012 30013 30014 30015 30016 30019 30020 30021 30022 30023 30029 3003 3004 3006 3007 30081 30082 30089 30110 30111 30112 30113 3013 3014 30183 3071 30723 3073 30751 3091 30981 311 31200 31201 31202 31203 31210 31211 31212 31213 31220 31221 31222 31223 31230 31231 31232 31233 31234 31235 31239 3124 31281 31282 31289 3129 31381 31400 31401 3141 3142 3148 3149 317 3180 3181 3182 319 3300 3301 3302 3303 3308 3309 3310 33111 33119 3312 3313 3314 3315 3316 3317 33181 33182 33189 3319 33701 34600 34601 34602 34603 34610 34611 34612 34613 34620 34621 34622 34623 34630 34631 34632 34633 34640 34641 34642 34643 34650 34651 34652 34653 34660 34661 34662 34663 34670 34671 34672 34673 34680 34681 34682 34683 34690 34691 34692 34693 34700 34701 34710 34711 3501 3502 3508 3509 36510 36511 36512 36513 36514 36515 4010 4011 4019 40200 40210 40290 40300 40310 40390 40400 40410 40490 40501 40509 40511 40519 40591 40599 41400 41401 41402 41403 41404 41405 41406 41407 41410 41411 41412 41419 4142 4143 4144 4148 4149 43300 43310 43320 43330 43380 43390 43400 43410 43490 4350 4351 4352 4353 4358 4359 4370 4371 4372 4374 4375 4376 4378 4379 49300 49301 49302 49310 49311 49312 49381 49382 49390 49391 49392 5300 53010 53011 53012 53013 53019 5303 5304 5305 5306 53081 53083 53084 53085 53089 5309 5880 6944 6961 6962 73300 73301 73302 73303 73309 73310 73311 73312 73316 73319 74685 75683 7581 7582 75831 75832 75833 75839 7585 75981 75982 75983 99681 V420 |9hccrx
