feature,significant,occurrences,auc,weight/importance,wt_low,wt_high,OR,OR_low,OR_high,OR_adj,OR_adj_low,OR_adj_high,Top1CorrFeat,Top1CorrVal,Top2CorrFeat,Top2CorrVal,Top3CorrFeat,Top3CorrVal,Top4CorrFeat,Top4CorrVal,Top5CorrFeat,Top5CorrVal,Top6CorrFeat,Top6CorrVal,Top7CorrFeat,Top7CorrVal,Top8CorrFeat,Top8CorrVal,Top9CorrFeat,Top9CorrVal,Top10CorrFeat,Top10CorrVal
Vital: BMI-gain0to24,True,1391,0.7487478001895221,0.08798834564876837,0.06411883021654201,0.11185786108099473,4.246985357450474,3.34915564647902,5.385502057917486,1.0919753956892413,1.0662190902793451,1.118353887734526,Newborn Diagnosis:9ccs191:Amnios dx,0.10862334754717491,Diagnosis:9ccs58:Ot nutrit dx,0.09630950085439977,Newborn Diagnosis:9ccs47:Ot bnign neo,0.0940654534942556,Diagnosis:9ccs106:Dysrhythmia,0.08702200525268267,Diagnosis:9ccs128:Asthma,0.08458315161770666,Diagnosis:9ccs235:Opn wnd head,0.08214750320511809,Diagnosis:9ccs95:Oth nerv dx,-0.07459182239364896,Diagnosis:9ccs246:FUO,0.07128275935397968,Diagnosis:9ccs243:Poisn nonmed,0.07057481300887909,Diagnosis:9ccs86:Cataract,-0.0655486168012785
Vital: BMI-latest,True,1672,0.7311267542078426,0.08522573741271643,0.06630558139028372,0.10414589343514913,4.482574375395614,3.496105733721559,5.747387110504847,1.088962858613387,1.0685531972519418,1.1097623501470317,Diagnosis:9ccs95:Oth nerv dx,-0.0853686216949101,Diagnosis:9ccs128:Asthma,0.0828672440855773,Diagnosis:9ccs138:Esophgeal dx,-0.070691185534697,Diagnosis:9ccs243:Poisn nonmed,0.06262548680161684,Diagnosis:9ccs86:Cataract,-0.05862292614309688,Newborn Diagnosis:9ccs166:Oth male gen,-0.05848191933477968,Newborn Diagnosis:9ccs191:Amnios dx,0.05638814605822203,Diagnosis:9ccs214:GI cong anom,-0.05398008384151278,Diagnosis:9ccs133:Oth low resp,0.05307433147847528,MatDeliveryAge,-0.05275048284350941
Vital: Wt-avg19to24,True,1417,0.7489057353007536,0.08148852832975433,0.06224439285483316,0.10073266380467549,4.067032392894462,3.2093234526913146,5.153968656846322,1.084900771888709,1.0642224012995862,1.1059809335035597,Newborn Diagnosis:9ccs191:Amnios dx,0.08593625835771918,Diagnosis:9ccs128:Asthma,0.08344765818398311,Diagnosis:9ccs2618:E Codes: Other specified and classifiable,0.08317366118498178,Diagnosis:9ccs120:Hemmorhoids,0.08317366118498178,Newborn Diagnosis:9ccs219:Low birth wt,-0.07879522036528572,Newborn Diagnosis:9ccs47:Ot bnign neo,0.07209952532030865,Diagnosis:9ccs86:Cataract,-0.06468221588872747,Diagnosis:9ccs136:Teeth dx,-0.063122235762824,Diagnosis:9ccs58:Ot nutrit dx,0.06305146157032444,Diagnosis:9ccs147:Anal/rectal,0.06295519549606149
Vital: Wt for Length ZScore-latest,True,1665,0.7606606200081223,0.04538628129759051,0.02851814884881374,0.062254413746367275,4.511349449551696,3.5029367968802845,5.810060254040589,1.0464319989584112,1.028928684536206,1.0642330658102719,Diagnosis:9ccs128:Asthma,0.10201274924039783,Diagnosis:9ccs95:Oth nerv dx,-0.08297763792208175,Number of Visits,0.0732323148663675,Diagnosis:9ccs86:Cataract,-0.07132727737008987,Diagnosis:9ccs138:Esophgeal dx,-0.070705218427708,Diagnosis:9ccs133:Oth low resp,0.06674412496072506,Diagnosis:9ccs92:Otitis media,0.0641850110376194,Diagnosis:9ccs122:Pneumonia,0.060853840814567205,Newborn Diagnosis:9ccs166:Oth male gen,-0.05611716318820071,Diagnosis:9ccs125:Bronchitis,0.054818766185903776
Vital: Wt-gain0to24,True,1411,0.7353007535761023,0.04482709449777461,0.02975928724395295,0.05989490175159627,3.94902497434143,3.118282965901326,5.001085026119405,1.0458470115715446,1.030206520253896,1.0617249552483543,Newborn Diagnosis:9ccs191:Amnios dx,0.08994927799511607,Diagnosis:9ccs128:Asthma,0.0837135341470585,Diagnosis:9ccs2618:E Codes: Other specified and classifiable,0.08355345800582718,Diagnosis:9ccs120:Hemmorhoids,0.08355345800582718,Newborn Diagnosis:9ccs219:Low birth wt,-0.07494169043159679,Newborn Diagnosis:9ccs47:Ot bnign neo,0.07244872458866253,Diagnosis:9ccs106:Dysrhythmia,0.07137777926513457,Diagnosis:9ccs86:Cataract,-0.06491276424785235,Diagnosis:9ccs136:Teeth dx,-0.06475196210662722,Diagnosis:9ccs147:Anal/rectal,0.06341091006167483
Vital: BMI-avg19to24,True,1397,0.7620369116917105,0.022063434480072294,0.008494183372169874,0.035632685587974715,4.343971631205674,3.423414231702028,5.512067268394217,1.022308632030177,1.0085303613092116,1.0362751377823756,Newborn Diagnosis:9ccs191:Amnios dx,0.10544385944698627,Diagnosis:9ccs58:Ot nutrit dx,0.09404718578596787,Newborn Diagnosis:9ccs47:Ot bnign neo,0.09369070789983276,Diagnosis:9ccs128:Asthma,0.08375818308700793,Diagnosis:9ccs235:Opn wnd head,0.08180366393278224,Diagnosis:9ccs106:Dysrhythmia,0.08061511181977325,Diagnosis:9ccs95:Oth nerv dx,-0.07326354896665159,Diagnosis:9ccs243:Poisn nonmed,0.0720577191747044,Diagnosis:9ccs246:FUO,0.07089089902568645,Diagnosis:9ccs86:Cataract,-0.06547110222964989
Vital: Wt for Len Percentile-latest,True,1601,0.751139389016741,0.01771092126582596,0.010320327212501368,0.02510151531915055,4.255097517730497,3.2938781854638752,5.496819817229032,1.0178686896634628,1.0103737654645932,1.0254192109994182,Diagnosis:9ccs128:Asthma,0.10169673151460108,Diagnosis:9ccs95:Oth nerv dx,-0.07446158194302883,Diagnosis:9ccs138:Esophgeal dx,-0.07335987654235503,MatDeliveryAge,-0.06427168708252272,Diagnosis:9ccs214:GI cong anom,-0.06390150043458011,Diagnosis:9ccs133:Oth low resp,0.06095588175906905,Diagnosis:9ccs243:Poisn nonmed,0.060855459976886836,Diagnosis:9ccs122:Pneumonia,0.05988366852643437,Diagnosis:9ccs246:FUO,0.05835363127199499,Diagnosis:9ccs92:Otitis media,0.05674891434903537
Vital: BMI-avg16to19,True,1293,0.7231623121700284,0.017579340841760657,0.009136570259724856,0.026022111423796457,3.188876768778596,2.5265099732546443,4.0248940847663555,1.0177347668806354,1.009178436124113,1.0263636425840121,Diagnosis:9ccs214:GI cong anom,-0.07431878685627263,Newborn Diagnosis:9ccs191:Amnios dx,0.06588882576622801,Diagnosis:9ccs143:Abdom hernia,0.06207952816295215,Diagnosis:9ccs235:Opn wnd head,0.05829476503080634,Newborn Diagnosis:9ccs162:Ot dx bladdr,0.057520863174759046,Diagnosis:9ccs56:Cystic fibro,-0.056868135428020716,MatDeliveryAge,-0.0568306299666177,Diagnosis:9ccs86:Cataract,-0.05595404825342014,Lab:294199 BILIRUBIN SCAN - LMC,-0.05357797571396604,Diagnosis:9ccs246:FUO,0.05338123331535483
Vital: Wt for Len Percentile-avg16to19,True,1294,0.7349623211948919,0.015820840985703983,0.008909995674887483,0.022731686296520483,3.223530112055239,2.5512138667897064,4.0730205015710625,1.015946653099271,1.0089498078405785,1.0229920199426776,MatDeliveryAge,-0.08854605035302032,Diagnosis:9ccs214:GI cong anom,-0.07647614659688891,Diagnosis:9ccs128:Asthma,0.05904163178573323,Diagnosis:9ccs86:Cataract,-0.05882257183032232,Newborn Diagnosis:9ccs215:gu cong anom,0.05597315429988691,Diagnosis:9ccs253:Allergy,0.05582396626764754,Diagnosis:9ccs129:Asp pneumon,-0.05190727908488036,Diagnosis:9ccs138:Esophgeal dx,-0.05185447188618466,"Lab:294495 LEAD, BLOOD - LMC",0.049995551173824766,Lab:294199 BILIRUBIN SCAN - LMC,-0.04994622306324493
Vital: Wt for Length ZScore-avg19to24,True,1392,0.7736789856053427,0.014580620880633825,0.0062344087345949945,0.022926833026672658,4.002055709733786,3.1554662188585807,5.075779232904097,1.0146874366486025,1.006253883110101,1.0231916729705255,Diagnosis:9ccs128:Asthma,0.07927794357388698,Diagnosis:9ccs86:Cataract,-0.07918245862600651,Diagnosis:9ccs235:Opn wnd head,0.07369735170593168,Diagnosis:9ccs246:FUO,0.06612478444666672,Diagnosis:9ccs138:Esophgeal dx,-0.06457730819788224,Diagnosis:9ccs214:GI cong anom,-0.06414358938557783,Diagnosis:9ccs243:Poisn nonmed,0.06390787745211682,Diagnosis:9ccs58:Ot nutrit dx,0.06182751319797169,Diagnosis:9ccs95:Oth nerv dx,-0.06111412604872262,Diagnosis:9ccs2618:E Codes: Other specified and classifiable,0.0542364142432212
